en,ar,confidence
a bad excuse is better than none,عذرٌ أقبح من ذنب,6
a bad penny always comes back,الطبع غلّاب,7
a bad penny always turns up,الطبع غلّاب,7
a bad tree does not yield good apples,هل يخرج الطيب من الخبيث؟,7
a bad workman always blames his tools,العيب في الصانع لا في الصنعة,10
a bad workman blames his tools,العيب في الصانع لا في الصنعة,10
a barking dog never bites,الكلب الذي ينبح لا يعض,9
a barking dog seldom bites,الكلب الذي ينبح لا يعض,9
a bird in the hand,عصفور في اليد,9
a bird in the hand is worth two in the bush,عصفور في اليد خير من عشرة على الشجرة,10
a broken clock is right twice a day,حتى الساعة المعطلة تصيب مرتين في اليوم,5
a burnt child dreads the fire,من جرّب المجرَّب عقله مخرَّب,7
a cat in gloves catches no mice,اللي يستحي ما ينولش,6
a chain is as strong as its weakest link,السلسلة على قدر أضعف حلقاتها,6
a chain is no stronger than its weakest link,السلسلة على قدر أضعف حلقاتها,6
a chain is only as strong as its weakest link,السلسلة على قدر أضعف حلقاتها,6
a closed mouth catches no flies,إذا كان الكلام من فضة فالسكوت من ذهب,5
a closed mouth doesn't get fed,اللي ما يطلب ما يُعطى,8
a closed mouth gathers no feet,إذا كان الكلام من فضة فالسكوت من ذهب,6
a contented mind is a perpetual feast,القناعة كنز لا يفنى,10
a creaking door hangs long on its hinges,العمر الطويل لأصحاب العلل,5
a creaking door hangs longest,العمر الطويل لأصحاب العلل,5
a danger foreseen is half avoided,درهم وقاية خير من قنطار علاج,9
a drowning man will clutch at a straw,الغريق يتشبث بقشة,10
a drowning man will grab at a straw,الغريق يتشبث بقشة,10
a drowning man will grab at straws,الغريق يتشبث بقشة,10
a drowning man will grasp at a straw,الغريق يتشبث بقشة,10
a drowning man will grasp at straws,الغريق يتشبث بقشة,10
a fair booty makes many a thief,المال السايب يعلّم الناس الحرام,9
a fault confessed is half redressed,الاعتراف بالحق فضيلة,8
a fool and his money are soon parted,المال السايب يعلّم الناس الحرام,7
a friend in need,الصديق وقت الضيق,10
a friend in need is a friend indeed,الصديق وقت الضيق,10
a friend to everyone is a friend to no one,من كان للجميع لم يكن لأحد,7
a golden key can open any door,المال مفتاح كل باب,9
a good beginning makes a good ending,ما حَسَنَ أوله حَسُنَ آخره,8
a good conscience is a soft pillow,من نام ضميره نامت عيونه,7
a good deed is its own reward,اعمل الخير وارمه في البحر,8
a healthy body is a healthy mind,العقل السليم في الجسم السليم,10
a hit dog hollers,اللي على راسه بطحة يحسس عليها,10
a hit dog will holler,اللي على راسه بطحة يحسس عليها,10
a house divided against itself cannot stand,البيت المنقسم على نفسه يَخْرَب,7
a house is not a home,ليست السعادة في كثرة المال والعيال,4
a hungry man is an angry man,الجوع كافر,9
a journey of a thousand miles begins with a single step,مشوار الألف ميل يبدأ بخطوة,10
a leopard cannot change its spots,الطبع غلّاب,9
a leopard does not change its spots,الطبع غلّاب,9
a lie can run around the world before the truth can get its boots on,الكذبة تجري سنة والحق يلحقها في يوم,6
a lie has no legs,حبل الكذب قصير,10
a little knowledge is a dangerous thing,قليل العلم أضرّ من الجهل,7
a little learning is a dangerous thing,قليل العلم أضرّ من الجهل,7
a man is known by the company he keeps,الطيور على أشكالها تقع,10
a man's home is his castle,بيت الرجل مملكته,6
a mill cannot grind with the water that is past,ما فات مات,6
a mind is a terrible thing to waste,العقل زينة,6
a miss is as good as a mile,ما فات فات,5
a new broom sweeps clean,كنس جديد ينظّف جيد,4
"a new broom sweeps clean, but an old broom knows all the corners",جديد يمسّي وقديم ينسي,5
"a new broom sweeps clean, but an old broom knows the corners",جديد يمسّي وقديم ينسي,5
"a new broom sweeps clean, but the old broom knows the corners",جديد يمسّي وقديم ينسي,5
a new language is a new life,من تعلّم لغة قومٍ أمِن شرّهم,6
a nod is as good as a wink,اللبيب بالإشارة يفهم,10
a nod is as good as a wink to a blind horse,لا حياة لمن تنادي,8
a penny saved is a penny earned,قرشك الأبيض ليومك الأسود,10
a penny saved is a penny gained,قرشك الأبيض ليومك الأسود,10
a picture is worth a thousand words,الصورة أبلغ من الكلام,8
a picture paints a thousand words,الصورة أبلغ من الكلام,8
a problem shared is a problem halved,همٌّ إذا تقاسَمْناه خَفّ,6
a promise is a promise,الوعد دين,9
a promise made is a promise kept,الوعد دين,9
a prophet has no honor in his own country,لا كرامة لنبي في قومه,10
a prophet is not without honor save in his own country,لا كرامة لنبي في قومه,10
a rolling stone gathers no moss,اللي ما له مكان ما له مكانة,5
a smooth sea never made a skilled sailor,الشدائد تصنع الرجال,7
a sorrow shared is a sorrow halved,همٌّ إذا تقاسَمْناه خَفّ,6
a stick in a bundle cannot be broken,الاتحاد قوة,9
a stick in a bundle is unbreakable,الاتحاد قوة,9
a stitch in time,درهم وقاية خير من قنطار علاج,7
a stitch in time saves nine,درهم وقاية خير من قنطار علاج,8
a stopped clock is right twice a day,حتى الساعة العاطلة تصيب مرتين في اليوم,5
a straw shows how the wind blows,المؤشرات تدل على ما سيأتي,3
a straw shows which way the wind blows,المؤشرات تدل على ما سيأتي,3
a sucker is born every minute,ما ينضحك إلا على الطيب,4
a trouble shared is a trouble halved,همٌّ إذا تقاسَمْناه خَفّ,6
a twig in a bundle cannot be broken,الاتحاد قوة,9
a twig in a bundle is unbreakable,الاتحاد قوة,9
a watched kettle never boils,من راقب المواعيد تأخرت عليه,3
a watched pot never boils,من راقب المواعيد تأخرت عليه,3
a watched pot never boils over,من راقب المواعيد تأخرت عليه,3
a watched pot/kettle never boils,من راقب المواعيد تأخرت عليه,3
a woman's work is never done,شغل المرأة ما يخلص,7
a worry shared is a worry halved,همٌّ إذا تقاسَمْناه خَفّ,6
absence makes the heart grow fonder,البعيد عن العين بعيد عن القلب,4
absolute power corrupts absolutely,السلطة المطلقة مفسدة مطلقة,9
accidents will happen,تجري الرياح بما لا تشتهي السفن,4
accidents will happen in the best regulated families,حتى في أحسن البيوت تقع الهفوات,5
actions have consequences,كما تدين تدان,10
actions speak louder than words,الأفعال أبلغ من الأقوال,10
adversity makes strange bedfellows,المصائب تجمع المصابين,9
age is just a number,العمر عمر القلب لا عمر السنين,8
"all animals are equal, but some animals are more equal than others",الناس سواسية كأسنان المشط,6
all cats are gray at night,في الليل كل شيءٍ سواء,6
all cats are gray in the dark,في الظلام تتشابه الأشياء,7
all cats are grey at night,في الليل كل شيءٍ سواء,6
all cats are grey by night,في الليل تتشابه الأشياء,7
all cats are grey in the dark,في الظلام تتشابه الأشياء,7
all good things come to an end,ما دام الفرح ما تمّ,7
all good things come to him who waits,من صبر ظفر,10
all good things must come to an end,دوام الحال من المحال,9
all hands on deck/to the pump,اليد الواحدة لا تصفق,7
all is fair in love and war,الحرب خدعة,7
all is fish that comes to the net,الغريق يتشبث بقشة,6
all is for the best in the best of all possible worlds,لعلّ في الأمر خيرًا,8
all is grist that comes to the mill,كل شيءٍ يُستفاد منه,5
all is well that ends well,العبرة بالخواتيم,10
all roads lead to mecca,تعددت الطرق والهدف واحد,8
all roads lead to rome,تعددت الطرق والهدف واحد,9
all roads lead to sydney,تعددت الطرق والهدف واحد,8
all that glisters is not gold,ليس كل ما يلمع ذهبًا,10
all that glitters is not gold,ليس كل ما يلمع ذهبًا,10
all that glitters/glistens is not gold,ليس كل ما يلمع ذهبًا,10
all the world's a stage,الدنيا مسرح كبير,7
all things come to those who wait,من صبر ظفر,10
all things excellent are as difficult as they are rare,الغالي ثمنه فيه,7
all things must pass,لا شيء يدوم,8
all work and no play makes jack a dull boy,الراحة نصف العيش,7
all's fair in love and war,الحرب خدعة,7
all's fish that comes to the net,الغريق يتشبث بقشة,6
all's well that ends well,العبرة بالخواتيم,10
almost doesn't count,لا يُغني عن الحق إلا تمامه,6
almost only counts in horseshoes and hand grenades,ما ينفع الندم بعد فوات الأوان,5
an apple a day keeps the doctor at bay,درهم وقاية خير من قنطار علاج,10
an apple a day keeps the doctor away,درهم وقاية خير من قنطار علاج,10
an army marches on its stomach,الجيوش تسير على بطونها,8
an englishman's home is his castle,بيت الرجل مملكته,7
an englishman's home is his castle/a man's home is his castle,بيت الرجل مملكته,8
an eye for an eye makes the whole world blind,العفو عند المقدرة من شيم الكرام,6
"an eye for an eye, a tooth for a tooth",العين بالعين والسن بالسن,10
an honest man doesn't need to remember much,الصادق لا يخاف من الحقيقة,5
an image is worth a thousand words,الصورة أبلغ من الكلام,7
an ounce of prevention is better than a pound of cure,درهم وقاية خير من قنطار علاج,10
an ounce of prevention is better than an ounce of cure,درهم وقاية خير من قنطار علاج,10
an ounce of prevention is worth a pound of cure,درهم وقاية خير من قنطار علاج,10
any port in a storm,الغريق يتشبث بقشة,9
anything worth doing is hard,ما نيل المطالب بالتمني,7
appearances are deceptive,ليس كل ما يلمع ذهبًا,10
april showers bring forth may flowers,رب ضارة نافعة,7
april showers bring may flowers,رب ضارة نافعة,7
"art is long, life is short",العلم بحر لا ساحل له,6
"as a dog returns to his vomit, so a fool repeats his folly",لا يلدغ المؤمن من جحر مرتين,6
"as a tree bends, so shall it grow",التعليم في الصغر كالنقش على الحجر,8
"as one door closes, another opens",إذا أُغلق باب فُتح باب,8
"as the mountain could not wait upon mahomet, mahomet would go to the mountain",إن لم تأتِ الجبال إلى محمد أتى محمد الجبال,8
"as the twig is bent, so is the tree inclined",التعليم في الصغر كالنقش على الحجر,9
"as you have brewed, so you must drink",كما تدين تدان,8
"as you make your bed, so you must lie in it",من حفر حفرة لأخيه وقع فيها,6
"as you make your bed, so you must lie upon it",من حفر حفرة لأخيه وقع فيها,6
as you sow so shall you reap,كما تزرع تحصد,10
"as you sow, so shall you reap",كما تزرع تحصد,10
ask a silly question and you will get a silly answer,كما تسأل يُجاب عليك,7
"ask a silly question, get a silly answer",كما تسأل يُجاب عليك,7
"ask a stupid question, get a stupid answer",كما تدين تدان,7
ask my companion if i be a thief,شهد شاهد من أهلها,6
ask no questions and hear no lies,الباب اللي يجيك منه الريح سده واستريح,7
attack is the best form of defence,الهجوم خير وسيلة للدفاع,10
attack is the best form of defense,الهجوم خير وسيلة للدفاع,10
attitude reflects leadership,الناس على دين ملوكها,9
bad money drives out good,العملة الرديئة تطرد العملة الجيدة,9
bad news travels fast,الخبر السيئ ينتشر بسرعة,7
barking dogs never bite,الكلب الذي ينبح لا يعض,9
barking dogs seldom bite,الكلب الذي ينبح لا يعض,9
be yourself,رحم الله امرأً عرف قدر نفسه,6
beauty is but skin-deep,الجمال جمال الروح لا جمال الوجه,8
beauty is in the eye of the beholder,ولكلٍّ من الجمال ما يرى,6
beauty is only skin deep,الجمال جمال الروح لا جمال الوجه,8
beauty never boiled the pot,الجمال لا يطبخ خبزاً,7
beauty won't boil the pot,الجمال لا يطبخ خبزاً,7
beauty won't make the pot boil,الجمال لا يطبخ خبزاً,7
"before setting out on a mission of vengeance, dig two graves",من حفر حفرة لأخيه وقع فيها,8
beggars can't be choosers,المحتاج لا يختار,9
beggars cannot be choosers,المحتاج لا يختار,9
