en,de,confidence
a bad excuse is better than none,Eine faule Ausrede ist besser als gar keine,6
a bad penny always comes back,Unkraut vergeht nicht,8
a bad penny always turns up,Unkraut vergeht nicht,8
a bad tree does not yield good apples,Ein fauler Baum trägt keine guten Früchte,6
a bad workman always blames his tools,Eine schlechte Arbeit schiebt man gern auf das Werkzeug,7
a bad workman blames his tools,Eine schlechte Arbeit schiebt man gern auf das Werkzeug,7
a barking dog never bites,"Hunde, die bellen, beißen nicht",10
a barking dog seldom bites,"Hunde, die bellen, beißen nicht",9
a bird in the hand,Lieber den Spatz in der Hand als die Taube auf dem Dach,10
a bird in the hand is worth two in the bush,Lieber den Spatz in der Hand als die Taube auf dem Dach,10
a broken clock is right twice a day,Auch eine stehengebliebene Uhr geht zweimal am Tag richtig,8
a buck is a buck,Kleinvieh macht auch Mist,7
a buck is a buck is a buck,Kleinvieh macht auch Mist,6
a buck's a buck,Kleinvieh macht auch Mist,7
a burnt child dreads the fire,Gebranntes Kind scheut das Feuer,10
a camel is a horse designed by a committee,Zu viele Köche verderben den Brei,6
a camel is a horse made by a committee,Zu viele Köche verderben den Brei,6
a camel is a horse made by committee,Zu viele Köche verderben den Brei,6
a cat can look at a king,Auch ein kleiner Mann hat seine Rechte,6
a cat in gloves catches no mice,Ohne Fleiß kein Preis,5
a cat may look at a king,Auch ein kleiner Mann hat seine Rechte,6
a chain is as strong as its weakest link,Eine Kette ist nur so stark wie ihr schwächstes Glied,10
a chain is no stronger than its weakest link,Eine Kette ist nur so stark wie ihr schwächstes Glied,10
a chain is only as strong as its weakest link,Eine Kette ist nur so stark wie ihr schwächstes Glied,10
a change is as good as a rest,Abwechslung ist die beste Erholung,9
a closed mouth catches no flies,"Reden ist Silber, Schweigen ist Gold",6
a closed mouth doesn't get fed,"Wer nicht fragt, bleibt dumm",8
a closed mouth gathers no feet,"Reden ist Silber, Schweigen ist Gold",7
a contented mind is a perpetual feast,Zufriedenheit ist der größte Reichtum,8
a creaking door hangs long on its hinges,Unkraut vergeht nicht,7
a creaking door hangs longest,Unkraut vergeht nicht,7
a danger foreseen is half avoided,Vorsicht ist die Mutter der Porzellankiste,8
a dog is a man's best friend,Der Hund ist der beste Freund des Menschen,9
a drowning man will clutch at a straw,Ein Ertrinkender greift nach jedem Strohhalm,10
a drowning man will grab at a straw,Ein Ertrinkender greift nach jedem Strohhalm,10
a drowning man will grab at straws,Ein Ertrinkender greift nach jedem Strohhalm,10
a drowning man will grasp at a straw,Ein Ertrinkender greift nach jedem Strohhalm,10
a drowning man will grasp at straws,Ein Ertrinkender greift nach jedem Strohhalm,10
a dumb priest never got a parish,"Wer nicht wagt, der nicht gewinnt",5
a fair booty makes many a thief,Gelegenheit macht Diebe,9
a fault confessed is half redressed,Einsicht ist der erste Schritt zur Besserung,9
a fool and his money are soon parted,"Leicht gewonnen, leicht zerronnen",7
a foolish consistency is the hobgoblin of little minds,Nur der Dumme ändert nie seine Meinung,8
a friend in need,Ein Freund in der Not,9
a friend in need is a friend indeed,Freunde in der Not gehen tausend auf ein Lot,10
a friend to everyone is a friend to no one,"Wer jedermanns Freund ist, ist niemandes Freund",9
a golden key can open any door,Geld regiert die Welt,8
a good beginning makes a good ending,Gut begonnen ist halb gewonnen,10
a good conscience is a soft pillow,Ein gutes Gewissen ist ein sanftes Ruhekissen,10
a good deed is its own reward,Gute Taten sind ihr eigener Lohn,8
a healthy body is a healthy mind,In einem gesunden Körper wohnt ein gesunder Geist,9
a hit dog hollers,Getroffene Hunde bellen,10
a hit dog will holler,Getroffene Hunde bellen,10
a house divided against itself cannot stand,Einigkeit macht stark,7
a house is not a home,Ein Haus ist noch kein Zuhause,6
a hungry man is an angry man,Hunger ist der beste Koch,3
a journey of a thousand miles begins with a single step,Auch der längste Weg beginnt mit dem ersten Schritt,10
a leopard cannot change its spots,"Der Wolf verliert sein Fell, aber nicht seine Natur",10
a leopard does not change its spots,"Der Wolf verliert sein Fell, aber nicht seine Natur",10
a lie can run around the world before the truth can get its boots on,Eine Lüge ist schneller als die Wahrheit,6
a lie has no legs,Lügen haben kurze Beine,10
a little knowledge is a dangerous thing,Halbwissen ist gefährlich,9
a little learning is a dangerous thing,Halbwissen ist gefährlich,9
a man is known by the company he keeps,"Sage mir, mit wem du umgehst, und ich sage dir, wer du bist",10
a man's home is his castle,Mein Zuhause ist meine Burg,6
a mill cannot grind with the water that is past,Vergangenes ist vergangen,3
a miss is as good as a mile,Knapp daneben ist auch vorbei,10
"a moment on the lips, a lifetime on the hips","Was man sich erst auf die Hüften isst, wird man so leicht nicht wieder los",3
a new broom sweeps clean,Neue Besen kehren gut,10
"a new broom sweeps clean, but an old broom knows all the corners","Neue Besen kehren gut, aber die alten kennen die Ecken",10
"a new broom sweeps clean, but an old broom knows the corners","Neue Besen kehren gut, aber die alten kennen die Ecken",10
