en,es,confidence
a bad excuse is better than none,peor es nada,7
a bad penny always comes back,hierba mala nunca muere,7
a bad penny always turns up,hierba mala nunca muere,7
a bad tree does not yield good apples,"de tal palo, tal astilla",6
a bad workman always blames his tools,el mal obrero le echa la culpa a las herramientas,5
a bad workman blames his tools,el mal obrero le echa la culpa a las herramientas,5
a barking dog never bites,perro que ladra no muerde,10
a barking dog seldom bites,perro que ladra no muerde,10
a bird in the hand,más vale pájaro en mano que ciento volando,10
a bird in the hand is worth two in the bush,más vale pájaro en mano que ciento volando,10
a broken clock is right twice a day,hasta el más tonto tiene un momento de lucidez,5
a buck is a buck,el dinero es dinero,6
a buck is a buck is a buck,el dinero es dinero,6
a buck's a buck,el dinero es dinero,6
a burnt child dreads the fire,gato escaldado del agua fría huye,10
a cat in gloves catches no mice,"el que algo quiere, algo le cuesta",6
a chain is as strong as its weakest link,la cadena se rompe por el eslabón más débil,10
a chain is no stronger than its weakest link,la cadena se rompe por el eslabón más débil,10
a chain is only as strong as its weakest link,la cadena se rompe por el eslabón más débil,10
a closed mouth catches no flies,en boca cerrada no entran moscas,10
a closed mouth doesn't get fed,el que no llora no mama,10
a closed mouth gathers no feet,en boca cerrada no entran moscas,7
a contented mind is a perpetual feast,"el que no se contenta con poco, no se contenta con nada",5
a creaking door hangs long on its hinges,yerba mala nunca muere,5
a creaking door hangs longest,yerba mala nunca muere,5
a danger foreseen is half avoided,soldado avisado no muere en guerra,8
a dog is a man's best friend,el perro es el mejor amigo del hombre,10
a drowning man will clutch at a straw,"a falta de pan, buenas son tortas",6
a drowning man will grab at a straw,"a falta de pan, buenas son tortas",6
a drowning man will grab at straws,"a falta de pan, buenas son tortas",6
a drowning man will grasp at a straw,"a falta de pan, buenas son tortas",6
a drowning man will grasp at straws,"a falta de pan, buenas son tortas",6
a dumb priest never got a parish,"el que no habla, Dios no lo oye",6
a fair booty makes many a thief,la ocasión hace al ladrón,9
a fault confessed is half redressed,El que reconoce su culpa la mitad se le perdona,8
a fool and his money are soon parted,"Dinero de tonto, pronto se acaba",7
a friend in need is a friend indeed,En la necesidad se conoce al amigo,10
a friend to everyone is a friend to no one,"Quien mucho abarca, poco aprieta",6
a golden key can open any door,Poderoso caballero es don Dinero,9
a good beginning makes a good ending,"Lo que bien empieza, bien acaba",9
a good conscience is a soft pillow,"Conciencia tranquila, la mejor almohada",8
a good deed is its own reward,Obra bien y no mires a quién,7
a healthy body is a healthy mind,Mens sana in corpore sano,10
a hit dog hollers,"El que se pica, ajos come",10
a hit dog will holler,"El que se pica, ajos come",10
