en,fa,confidence
a bad excuse is better than none,عیبش را بگو تا هنرش هم معلوم شود,3
a bad penny always comes back,آدم بد را هر جا ول کنی باز جلوی چشمت سبز می‌شود,5
a bad penny always turns up,آدم بد را هر جا ول کنی باز جلوی چشمت سبز می‌شود,5
a bad tree does not yield good apples,از کوزه همان برون تراود که در اوست,9
a bad workman always blames his tools,رقص بلد نیست می‌گه زمین کجه,10
a bad workman blames his tools,رقص بلد نیست می‌گه زمین کجه,10
a barking dog never bites,سگ که پارس می‌کند، نمی‌گزد,8
a barking dog seldom bites,سگ که پارس می‌کند، کمتر می‌گزد,7
a bird in the hand,سیلی نقد به از حلوای نسیه,10
a bird in the hand is worth two in the bush,سیلی نقد به از حلوای نسیه,10
a broken clock is right twice a day,یک بار جوینده یابنده است,4
a buck is a buck,پول، پوله,8
a buck is a buck is a buck,پول، پوله,7
a buck's a buck,پول، پوله,8
a burnt child dreads the fire,مارگزیده از ریسمان سیاه و سفید می‌ترسد,10
a cat can look at a king,بنده خدا هم حقی دارد,4
a cat in gloves catches no mice,با دستکش نمی‌شود نان داغ گرفت,4
a cat may look at a king,بنده خدا هم حقی دارد,4
a chain is as strong as its weakest link,استحکام زنجیر به ضعیف‌ترین حلقه‌اش است,6
a chain is no stronger than its weakest link,استحکام زنجیر به ضعیف‌ترین حلقه‌اش است,6
a chain is only as strong as its weakest link,استحکام زنجیر به ضعیف‌ترین حلقه‌اش است,6
a change is as good as a rest,تنوع، خستگی را می‌برد,5
a closed mouth catches no flies,کم گوی و گزیده گوی چون دُر,4
a closed mouth doesn't get fed,تا نپرسی، چیزی گیرت نمی‌آید,5
a closed mouth gathers no feet,زبان سرخ سر سبز می‌دهد بر باد,4
a contented mind is a perpetual feast,قناعت گنج بی‌پایان است,10
a creaking door hangs long on its hinges,بدن علیل عمرش دراز است,7
a creaking door hangs longest,بدن علیل عمرش دراز است,7
a danger foreseen is half avoided,جلوی ضرر را از هر جا بگیری منفعت است,5
a drowning man will clutch at a straw,غریق به هر خاشاکی می‌آویزد,10
a drowning man will grab at a straw,غریق به هر خاشاکی می‌آویزد,10
a drowning man will grab at straws,غریق به هر خاشاکی می‌آویزد,10
a drowning man will grasp at a straw,غریق به هر خاشاکی می‌آویزد,10
a drowning man will grasp at straws,غریق به هر خاشاکی می‌آویزد,10
