en,fr,confidence
a bad excuse is better than none,"Faute de grives, on mange des merles",6
a bad penny always comes back,On revoit toujours les mêmes têtes,6
a bad penny always turns up,On revoit toujours les mêmes têtes,6
a bad tree does not yield good apples,Bon chien chasse de race,5
a bad workman always blames his tools,À mauvais ouvrier point de bons outils,10
a bad workman blames his tools,À mauvais ouvrier point de bons outils,10
a barking dog never bites,Chien qui aboie ne mord pas,10
a barking dog seldom bites,Chien qui aboie ne mord pas,9
a bird in the hand,Un tiens vaut mieux que deux tu l’auras,9
a bird in the hand is worth two in the bush,Un tiens vaut mieux que deux tu l’auras,10
a broken clock is right twice a day,Même une horloge arrêtée donne l’heure juste deux fois par jour,7
a buck is a buck,L’argent n’a pas d’odeur,6
a buck is a buck is a buck,L’argent n’a pas d’odeur,6
a buck's a buck,L’argent n’a pas d’odeur,6
a burnt child dreads the fire,Chat échaudé craint l’eau froide,10
a cat can look at a king,Nul n’est au‑dessus des lois,5
a cat in gloves catches no mice,On n’attrape pas les mouches avec des gants,6
a cat may look at a king,Nul n’est au‑dessus des lois,5
a chain is as strong as its weakest link,La chaîne n’est pas plus forte que son maillon le plus faible,8
a chain is no stronger than its weakest link,La chaîne n’est pas plus forte que son maillon le plus faible,8
a chain is only as strong as its weakest link,La chaîne n’est pas plus forte que son maillon le plus faible,8
a change is as good as a rest,"Changer d’air, c’est se reposer",6
a closed mouth catches no flies,"La parole est d’argent, mais le silence est d’or",6
a closed mouth doesn't get fed,Qui ne demande rien n’a rien,9
a closed mouth gathers no feet,Tourne sept fois ta langue dans ta bouche,6
a contented mind is a perpetual feast,Contentement passe richesse,9
a creaking door hangs long on its hinges,Les mauvaises herbes ont la vie dure,7
a creaking door hangs longest,Les mauvaises herbes ont la vie dure,7
a danger foreseen is half avoided,Un homme averti en vaut deux,10
a dog is a man's best friend,Le chien est le meilleur ami de l’homme,10
a drowning man will clutch at a straw,À la guerre comme à la guerre,4
a drowning man will grab at a straw,À la guerre comme à la guerre,4
a drowning man will grab at straws,À la guerre comme à la guerre,4
a drowning man will grasp at a straw,À la guerre comme à la guerre,4
a drowning man will grasp at straws,À la guerre comme à la guerre,4
a dumb priest never got a parish,Qui ne demande rien n’a rien,6
a fair booty makes many a thief,L’occasion fait le larron,10
a fault confessed is half redressed,Faute avouée est à moitié pardonnée,10
a fool and his money are soon parted,L’argent est vite dépensé par les sots,5
a friend in need is a friend indeed,C’est dans le besoin qu’on reconnaît ses vrais amis,10
a friend to everyone is a friend to no one,Qui trop embrasse mal étreint,7
a golden key can open any door,L’argent ouvre toutes les portes,10
a good beginning makes a good ending,"Bien commencer, c’est déjà la moitié du travail",7
a good conscience is a soft pillow,Bonne conscience est un doux oreiller,9
a good deed is its own reward,Bien faire et laisser dire,6
a healthy body is a healthy mind,Un esprit sain dans un corps sain,10
a house divided against itself cannot stand,Toute maison divisée contre elle-même périra,9
a hungry man is an angry man,Ventre affamé n’a point d’oreilles,8
a journey of a thousand miles begins with a single step,Un long voyage commence toujours par un premier pas,9
a leopard cannot change its spots,"Chassez le naturel, il revient au galop",10
a leopard does not change its spots,"Chassez le naturel, il revient au galop",10
a lie can run around the world before the truth can get its boots on,Le mensonge a souvent une longueur d’avance sur la vérité,5
a lie has no legs,Le mensonge ne va pas loin,9
a little knowledge is a dangerous thing,"Un peu de science éloigne de Dieu, beaucoup y ramène",4
a little learning is a dangerous thing,"Un peu de science éloigne de Dieu, beaucoup y ramène",4
a man is known by the company he keeps,"Dis-moi qui tu hantes, je te dirai qui tu es",10
a man's home is his castle,Charbonnier est maître chez lui,9
a mill cannot grind with the water that is past,On ne rattrape pas le temps perdu,7
a miss is as good as a mile,"Raté de peu, raté quand même",6
a new broom sweeps clean,"Tout nouveau, tout beau",6
"a new broom sweeps clean, but an old broom knows all the corners","Tout nouveau, tout beau, mais c’est dans les vieux pots qu’on fait les meilleures soupes",7
"a new broom sweeps clean, but an old broom knows the corners","Tout nouveau, tout beau, mais c’est dans les vieux pots qu’on fait les meilleures soupes",7
"a new broom sweeps clean, but the old broom knows the corners","Tout nouveau, tout beau, mais c’est dans les vieux pots qu’on fait les meilleures soupes",7
a new language is a new life,"Autre langue, autre vie",6
a penny saved is a penny earned,Un sou est un sou,8
a penny saved is a penny gained,Un sou est un sou,8
a picture is worth a thousand words,une image vaut mille mots,10
a picture paints a thousand words,une image vaut mille mots,10
a problem shared is a problem halved,un mal partagé est à moitié soulagé,8
a promise is a promise,"chose promise, chose due",10
a promise made is a promise kept,"chose promise, chose due",10
a prophet has no honor in his own country,nul n’est prophète en son pays,10
a prophet is not without honor save in his own country,nul n’est prophète en son pays,10
a rolling stone gathers no moss,pierre qui roule n’amasse pas mousse,10
"a ship in a harbour is safe, but that's not what a ship is for",qui ne risque rien n’a rien,7
a smooth sea never made a skilled sailor,c’est dans la tempête qu’on voit le bon marin,8
a sorrow shared is a sorrow halved,un mal partagé est à moitié soulagé,8
a spoonful of sugar helps the medicine go down,il faut savoir faire passer la pilule,7
a spoonful of sugar makes the medicine go down,il faut savoir faire passer la pilule,7
a stick in a bundle cannot be broken,l’union fait la force,9
a stick in a bundle is unbreakable,l’union fait la force,9
a stitch in time,mieux vaut prévenir que guérir,7
a stitch in time saves nine,mieux vaut prévenir que guérir,8
a stopped clock is right twice a day,même une horloge arrêtée donne l’heure juste deux fois par jour,8
a straw shows how the wind blows,un rien montre d’où vient le vent,5
a straw shows which way the wind blows,un rien montre d’où vient le vent,5
a sucker is born every minute,un pigeon se lève tous les matins,6
a trouble shared is a trouble halved,un mal partagé est à moitié soulagé,8
a twig in a bundle cannot be broken,l’union fait la force,9
a twig in a bundle is unbreakable,l’union fait la force,9
a watched kettle never boils,"quand on regarde l’eau, elle ne bout jamais",6
a watched pot never boils,"quand on regarde l’eau, elle ne bout jamais",6
a watched pot never boils over,"quand on regarde l’eau, elle ne bout jamais",5
a watched pot/kettle never boils,"quand on regarde l’eau, elle ne bout jamais",6
a woman's work is never done,le travail d’une femme n’est jamais fini,6
a worry shared is a worry halved,un souci partagé est à moitié soulagé,6
absence makes the heart grow fonder,"loin des yeux, près du cœur",10
absolute power corrupts absolutely,le pouvoir absolu corrompt absolument,9
accidents will happen,un accident est vite arrivé,10
accidents will happen in the best regulated families,cela arrive dans les meilleures familles,9
actions have consequences,On récolte ce que l’on sème,9
actions speak louder than words,Les actes valent mieux que les paroles,10
adversity makes strange bedfellows,La misère fait de bizarres compagnons,6
age is just a number,On n’a que l’âge qu’on se donne,9
"all animals are equal, but some animals are more equal than others","Selon que vous serez puissant ou misérable, les jugements de cour vous rendront blanc ou noir",9
all cats are gray at night,"La nuit, tous les chats sont gris",10
all cats are gray in the dark,"La nuit, tous les chats sont gris",10
all cats are grey at night,"La nuit, tous les chats sont gris",10
all cats are grey by night,"La nuit, tous les chats sont gris",10
all cats are grey in the dark,"La nuit, tous les chats sont gris",10
all good things come to an end,Toutes les bonnes choses ont une fin,10
all good things come to him who waits,Tout vient à point à qui sait attendre,10
all good things must come to an end,Toutes les bonnes choses ont une fin,10
all hands on deck/to the pump,Tous sur le pont,8
all is fair in love and war,À la guerre comme à la guerre,8
all is fish that comes to the net,Tout est bon à prendre,8
all is for the best in the best of all possible worlds,Tout est pour le mieux dans le meilleur des mondes,10
all is grist that comes to the mill,Tout fait farine au moulin,9
all is well that ends well,Tout est bien qui finit bien,10
all publicity is good publicity,"Qu’on parle de moi en bien ou en mal, peu importe, l’essentiel est qu’on en parle",7
all roads lead to mecca,Tous les chemins mènent à Rome,9
all roads lead to rome,Tous les chemins mènent à Rome,10
all roads lead to sydney,Tous les chemins mènent à Rome,9
all that glisters is not gold,Tout ce qui brille n’est pas or,10
all that glitters,Tout ce qui brille n’est pas or,7
all that glitters is not gold,Tout ce qui brille n’est pas or,10
