en,hi,confidence
a bad excuse is better than none,न रहेगा बांस न बजेगी बाँसुरी,3
a bad penny always comes back,बुरा पैसा बार‑बार लौटकर आता है,2
a bad penny always turns up,बुरा पैसा बार‑बार लौटकर आता है,2
a bad tree does not yield good apples,खराब बीज से अच्छा पेड़ नहीं उगता,3
a bad workman always blames his tools,नाच न जाने आँगन टेढ़ा,10
a bad workman blames his tools,नाच न जाने आँगन टेढ़ा,10
a barking dog never bites,जो कुत्ता ज़्यादा भौंकता है वह काटता नहीं,6
a barking dog seldom bites,जो कुत्ता ज़्यादा भौंकता है वह काटता नहीं,6
a bird in the hand,"हाथ का एक, झाड़ी के दो के बराबर",4
a bird in the hand is worth two in the bush,नौ नगद न तेरह उधार,8
a burnt child dreads the fire,दूध का जला छाछ भी फूँक‑फूँक कर पीता है,10
a chain is as strong as its weakest link,ज़ंजीर उतनी ही मज़बूत होती है जितनी उसकी सबसे कमज़ोर कड़ी,4
a chain is no stronger than its weakest link,ज़ंजीर उतनी ही मज़बूत होती है जितनी उसकी सबसे कमज़ोर कड़ी,4
a chain is only as strong as its weakest link,ज़ंजीर उतनी ही मज़बूत होती है जितनी उसकी सबसे कमज़ोर कड़ी,4
a contented mind is a perpetual feast,संतोषी सदा सुखी,9
a danger foreseen is half avoided,"सावधानी हटी, दुर्घटना घटी",6
a drowning man will clutch at a straw,डूबते को तिनके का सहारा,10
a drowning man will grab at a straw,डूबते को तिनके का सहारा,10
a drowning man will grab at straws,डूबते को तिनके का सहारा,10
a drowning man will grasp at a straw,डूबते को तिनके का सहारा,10
a drowning man will grasp at straws,डूबते को तिनके का सहारा,10
a fault confessed is half redressed,गलती मानने से आधी माफ़ी मिल जाती है,6
a fool and his money are soon parted,मूर्ख के हाथ का धन टिकता नहीं,7
a friend in need,संकट में जो काम आए वही सच्चा मित्र है,8
a friend in need is a friend indeed,संकट में जो काम आए वही सच्चा मित्र है,10
a friend to everyone is a friend to no one,सबका दोस्त किसी का दोस्त नहीं होता,6
a golden key can open any door,पैसा बोलता है,7
a good beginning makes a good ending,शुभारंभ आधा काम पूरा,6
a good conscience is a soft pillow,निर्दोष मन को चैन की नींद आती है,6
a good deed is its own reward,नेकी कर दरिया में डाल,8
a healthy body is a healthy mind,स्वस्थ शरीर में ही स्वस्थ मस्तिष्क रहता है,9
a hit dog hollers,जिसके सिर मरोड़ वही चीखे,7
a hit dog will holler,जिसके सिर मरोड़ वही चीखे,7
a house divided against itself cannot stand,घर में फूट हो तो घर नहीं टिकता,7
a house is not a home,"ईंट-पत्थर से घर, प्यार से घर-परिवार",7
a hungry man is an angry man,भूखा भजन न होय गोपाला,8
a journey of a thousand miles begins with a single step,हज़ार मील की यात्रा भी पहले क़दम से शुरू होती है,9
a leopard cannot change its spots,चोर की दाढ़ी में तिनका,4
a leopard does not change its spots,चोर की दाढ़ी में तिनका,4
a lie can run around the world before the truth can get its boots on,झूठ के पाँव नहीं होते पर दौड़ तेज़ लगाता है,6
a lie has no legs,झूठ के पाँव नहीं होते,10
a little knowledge is a dangerous thing,अधजल गगरी छलकत जाए,10
a little learning is a dangerous thing,अधजल गगरी छलकत जाए,10
a man is known by the company he keeps,जैसी संगत वैसी रंगत,10
a man's home is his castle,घर ही आदमी का किला होता है,5
a mill cannot grind with the water that is past,"बीती ताहि बिसार दे, आगे की सुध ले",7
a miss is as good as a mile,"थोड़ी हो या ज़्यादा, चूक तो चूक है",5
a new broom sweeps clean,नई झाड़ू ज़्यादा साफ़ करती है,7
"a new broom sweeps clean, but an old broom knows all the corners",नई झाड़ू ज़्यादा साफ़ करती है पर पुरानी झाड़ू को कोने पता होते हैं,7
"a new broom sweeps clean, but an old broom knows the corners",नई झाड़ू ज़्यादा साफ़ करती है पर पुरानी झाड़ू को कोने पता होते हैं,7
"a new broom sweeps clean, but the old broom knows the corners",नई झाड़ू ज़्यादा साफ़ करती है पर पुरानी झाड़ू को कोने पता होते हैं,7
a new language is a new life,नई भाषा नया संसार,6
a nod is as good as a wink,इशारा काफ़ी है,7
a nod is as good as a wink to a blind horse,"अंधे के आगे रोए, अपनी आँखें खोए",6
a penny saved is a penny earned,बचत ही कमाई है,8
a penny saved is a penny gained,बचत ही कमाई है,8
a picture is worth a thousand words,एक तस्वीर हज़ार बातें कहती है,9
a picture paints a thousand words,एक तस्वीर हज़ार बातें कहती है,9
a problem shared is a problem halved,दुख बाँटने से आधा हो जाता है,9
a promise is a promise,वचन का पक्का,7
a promise made is a promise kept,जो वादा किया वो निभाना ही पड़ता है,6
a prophet has no honor in his own country,घर की मुर्गी दाल बराबर,8
a prophet is not without honor save in his own country,घर की मुर्गी दाल बराबर,8
a rising tide lifts all boats,जैसे राजा वैसी प्रजा,4
a rolling stone gathers no moss,डाल-डाल पर कूदने वाला कभी घर नहीं बसाता,4
"a ship in a harbour is safe, but that's not what a ship is for","नाव किनारे से नहीं, समंदर में उतरने के लिए होती है",4
a smooth sea never made a skilled sailor,कठिनाइयाँ ही इंसान को मजबूत बनाती हैं,6
a sorrow shared is a sorrow halved,दुख बाँटने से आधा हो जाता है,9
a spoonful of sugar helps the medicine go down,मीठी बोली से कड़वी बात भी उतर जाती है,6
a spoonful of sugar makes the medicine go down,मीठी बोली से कड़वी बात भी उतर जाती है,6
a stick in a bundle cannot be broken,एकता में बल है,10
a stick in a bundle is unbreakable,एकता में बल है,10
a stitch in time,समय पर किया काम ही सच्चा काम,5
a stitch in time saves nine,समय पर किया काम नौ मुसीबतें टाल देता है,6
a stopped clock is right twice a day,बंदर क्या जाने अदरक का स्वाद,2
a straw shows how the wind blows,बूँद से भरता है घड़ा,3
a straw shows which way the wind blows,बूँद से भरता है घड़ा,3
a sucker is born every minute,हर रोज़ एक न एक बेवकूफ मिल ही जाता है,5
a trouble shared is a trouble halved,दुख बाँटने से आधा हो जाता है,9
a twig in a bundle cannot be broken,एकता में बल है,10
a twig in a bundle is unbreakable,एकता में बल है,10
a watched kettle never boils,देखते घड़ा नहीं भरता,7
a watched pot never boils,देखते घड़ा नहीं भरता,7
a watched pot never boils over,देखते घड़ा नहीं भरता,6
a watched pot/kettle never boils,देखते घड़ा नहीं भरता,7
a woman's work is never done,औरत का काम कभी खत्म नहीं होता,8
a worry shared is a worry halved,दुख बाँटने से आधा हो जाता है,9
absence makes the heart grow fonder,दूरी प्यार बढ़ाती है,9
absolute power corrupts absolutely,अधिकार ज़्यादा हो तो आदमी बिगड़ जाता है,6
accidents will happen,दुर्घटना कभी भी हो सकती है,7
accidents will happen in the best regulated families,अच्छे घरों में भी हादसे हो जाते हैं,6
actions have consequences,जैसी करनी वैसी भरनी,10
actions speak louder than words,"कर्म बोलते हैं, बातें नहीं",7
adversity makes strange bedfellows,डूबते को तिनके का सहारा,6
"all animals are equal, but some animals are more equal than others","कानून सबके लिए बराबर, पर लागू कुछ पर ही होता है",4
all cats are gray at night,अँधेरे में सब बराबर दिखते हैं,6
all cats are gray in the dark,अँधेरे में सब बराबर दिखते हैं,7
all cats are grey at night,अँधेरे में सब बराबर दिखते हैं,7
all cats are grey by night,अँधेरे में सब बराबर दिखते हैं,7
all cats are grey in the dark,अँधेरे में सब बराबर दिखते हैं,7
all good things come to an end,हर चीज़ का एक न एक दिन अंत होता है,6
all good things come to him who waits,सब्र का फल मीठा होता है,10
all good things must come to an end,हर चीज़ का एक न एक दिन अंत होता है,6
all hands on deck/to the pump,सबको मिलकर काम करना होगा,5
all is fair in love and war,इश्क़ और जंग में सब जायज़ है,9
all is well that ends well,अंत भला तो सब भला,10
all roads lead to rome,सभी रास्ते एक ही मंज़िल की ओर जाते हैं,5
all that glisters is not gold,हर चमकने वाली चीज़ सोना नहीं होती,8
all that glitters is not gold,हर चमकने वाली चीज़ सोना नहीं होती,9
all that glitters/glistens is not gold,हर चमकने वाली चीज़ सोना नहीं होती,9
all the world's a stage,सारा जग एक रंगमंच है,6
all things come to those who wait,सब्र का फल मीठा होता है,10
all things must pass,यह वक्त भी गुज़र जाएगा,8
all work and no play makes jack a dull boy,केवल काम और बिना आराम से दिमाग सुस्त हो जाता है,5
all's fair in love and war,इश्क़ और जंग में सब जायज़ है,10
all's well that ends well,अंत भला तो सब भला,10
almost doesn't count,लगभग से काम नहीं चलता,5
an apple a day keeps the doctor at bay,"दिन में एक सेब, डॉक्टर रहे दूर",6
an apple a day keeps the doctor away,"दिन में एक सेब, डॉक्टर रहे दूर",7
an army marches on its stomach,भूखे भजन न होय गोपाला,8
an englishman's home is his castle,घर ही आदमी की असली दुनिया है,3
an englishman's home is his castle/a man's home is his castle,घर ही आदमी की असली दुनिया है,3
an eye for an eye makes the whole world blind,आग का जवाब आग से दोगे तो घर ही जल जाएगा,4
"an eye for an eye, a tooth for a tooth",जैसे को तैसा,9
an honest man doesn't need to remember much,सच्चे को सफाई नहीं देनी पड़ती,7
an image is worth a thousand words,एक तस्वीर हज़ार बातें कहती है,9
an old dog for a hard road,पुराने लोहार की चोट पक्की,6
an ounce of prevention is better than a pound of cure,इलाज से परहेज़ बेहतर है,10
an ounce of prevention is better than an ounce of cure,इलाज से परहेज़ बेहतर है,10
an ounce of prevention is worth a pound of cure,इलाज से परहेज़ बेहतर है,10
any port in a storm,डूबते को तिनके का सहारा,8
anything worth doing is hard,मेहनत के बिना कुछ नहीं मिलता,6
appearances are deceptive,"दिखावे पर मत जाओ, अपनी अक़्ल लगाओ",7
april showers bring forth may flowers,मेहनत का फल मीठा होता है,7
april showers bring may flowers,मेहनत का फल मीठा होता है,7
"art is long, life is short","विद्या अपार है, जीवन सीमित",6
"as a dog returns to his vomit, so a fool repeats his folly","गधे को मीठा क्या, खुरपी क्या",3
"as a tree bends, so shall it grow","बचपन की डाली जैसी डले, वैसी ही रहे",5
"as one door closes, another opens",एक दरवाज़ा बंद होता है तो दूसरा खुल जाता है,8
