en,ja,confidence
almost only counts in horseshoes and hand grenades,九分九厘は一分に及ばず,6
an apple a day keeps the doctor at bay,医者いらず,5
an apple a day keeps the doctor away,医者いらず,5
an army marches on its stomach,腹が減っては戦はできぬ,10
an englishman's home is his castle,我が家が一番,7
an englishman's home is his castle/a man's home is his castle,我が家が一番,7
an eye for an eye makes the whole world blind,仇を仇で返すな,6
"an eye for an eye, a tooth for a tooth",目には目を歯には歯を,10
an honest man doesn't need to remember much,嘘つきは泥棒の始まり,4
an image is worth a thousand words,百聞は一見にしかず,10
an ounce of prevention is better than a pound of cure,転ばぬ先の杖,10
an ounce of prevention is better than an ounce of cure,転ばぬ先の杖,10
an ounce of prevention is worth a pound of cure,転ばぬ先の杖,10
"another day, another dollar",今日も一日稼ぎ時,3
any exposure is good exposure,悪名は無名に勝る,8
any port in a storm,背に腹は代えられぬ,8
any press is good press,悪名は無名に勝る,9
any publicity is good publicity,悪名は無名に勝る,9
anything worth doing is hard,楽あれば苦あり,5
appearances are deceptive,見かけによらぬ,9
april showers bring forth may flowers,雨降って地固まる,7
april showers bring may flowers,雨降って地固まる,7
"art is long, life is short",芸は身を助ける,4
"as a dog returns to his vomit, so a fool repeats his folly",馬鹿は死ななきゃ治らない,7
"as a tree bends, so shall it grow",三つ子の魂百まで,9
"as one door closes, another opens",捨てる神あれば拾う神あり,10
as queer as a three dollar bill,胡散臭い,3
"as the mountain could not wait upon mahomet, mahomet would go to the mountain",来ぬなら来させてみせよう,2
"as the twig is bent, so is the tree inclined",三つ子の魂百まで,9
"as you have brewed, so you must drink",自業自得,9
"as you make your bed, so you must lie in it",自業自得,10
"as you make your bed, so you must lie upon it",自業自得,10
as you sow so shall you reap,因果応報,10
"as you sow, so shall you reap",因果応報,10
ask a silly question and you will get a silly answer,聞くは一時の恥聞かぬは一生の恥,4
"ask a silly question, get a silly answer",聞くは一時の恥聞かぬは一生の恥,4
"ask a stupid question, get a stupid answer",聞くは一時の恥聞かぬは一生の恥,3
ask no questions and hear no lies,知らぬが仏,9
at the end of my rope,泣きっ面に蜂,2
attack is the best form of defence,攻撃は最大の防御,10
attack is the best form of defense,攻撃は最大の防御,10
attitude reflects leadership,上に立つ者の器で部下が決まる,5
bad money drives out good,悪貨は良貨を駆逐する,10
bad news travels fast,悪事千里を走る,10
bad things come in threes,二度あることは三度ある,7
barking dogs never bite,弱い犬ほどよく吠える,9
barking dogs seldom bite,弱い犬ほどよく吠える,9
be yourself,自分らしく生きよ,4
beauty is but skin-deep,見かけによらぬもの,6
beauty is in the eye of the beholder,蓼食う虫も好き好き,10
beauty is only skin deep,見かけによらぬもの,6
beauty never boiled the pot,美人は三日で飽きる,3
beauty won't boil the pot,美人は三日で飽きる,3
beauty won't make the pot boil,美人は三日で飽きる,3
"before setting out on a mission of vengeance, dig two graves",人を呪わば穴二つ,10
beggars can't be choosers,背に腹は代えられぬ,8
beggars cannot be choosers,背に腹は代えられぬ,8
behind every great man is a great woman,内助の功,7
behind every great man there stands a woman,内助の功,7
"behind every great man, there is a great woman",内助の功,7
behind every successful man there stands a woman,内助の功,7
better an egg today than a hen tomorrow,明日の百より今日の五十,9
better is the enemy of good,過ぎたるは及ばざるがごとし,6
better late than never,遅れても来ないよりまし,7
better safe than sorry,転ばぬ先の杖,10
don't buy green bananas,人生万事塞翁が馬,3
don't change a winning team,勝って兜の緒を締めよ,6
don't count your chickens,捕らぬ狸の皮算用,10
don't count your chickens before the eggs have hatched,捕らぬ狸の皮算用,10
don't count your chickens before they're hatched,捕らぬ狸の皮算用,10
don't count your chickens before they've hatched,捕らぬ狸の皮算用,10
